,accl_x,accl_y,accl_z,labelOnTable,labelWalkingDownStairs,labelWalking,labelRunning,labelElevator,labelSitting,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,gps_Latitude,gps_Longitude,mag_x,mag_y,mag_z,press_x
1970-01-01 00:08:50.505039999,1.218841718128,1.078392253076,0.904026317604,0,1,0,0,0,0,5.853349896240001,-7.444319458040001,0.38047280273664,0.6511206376640001,-0.9117135584680001,0.44858743665199996,,,-30.008506698799998,27.180880126799998,3.7764930344000005,
1970-01-01 00:08:50.755039999,0.7769842958372,0.9592917909,1.4107755895600003,0,1,0,0,0,0,5.258546047083333,-7.782728233333333,1.0858918761916667,0.34576000125359996,-0.6776762676031999,-0.3665502917752,,,-30.138082198800003,33.90188018879999,7.56304981236,
1970-01-01 00:08:51.005039999,1.1723167095264,-1.81084437656,1.499753605724,0,1,0,0,0,0,6.385289721760001,-10.1278610046,1.613105529776,0.98270982026,-1.027800167213,-0.305497887962,52.32156436,4.874931715,-32.2796060944,36.2056291204,8.003434333800001,
1970-01-01 00:08:51.255039999,-1.996738916248,-0.2861623130172,0.1208116848814,0,1,0,0,0,0,4.57043972176,-7.5250376038399995,0.8913604064720001,0.7158171483240001,-0.526548995964,-0.6665096074360001,,,-36.0705972304,34.366920013999994,7.01362758644,1010.6063839999999
1970-01-01 00:08:51.505039999,-2.1007146712625,-1.3605768183041669,0.7239970526958333,0,1,0,0,0,0,4.64163766492,-8.5270239626,0.8098938171600001,-0.04752806453750002,-0.39372279316591663,0.8639200631725,,,-35.6586799625,34.382419903333336,10.08788768475,
1970-01-01 00:08:51.755039999,0.70993554862728,-0.07548355462680002,-0.15926718503160003,0,1,0,0,0,0,5.997158843959999,-8.219838757320002,-0.09121431886568,-0.4485010131664,0.793168011904,0.4032996565168,,,-29.966161575600005,39.1084013376,11.471193351039998,
1970-01-01 00:08:52.005039999,0.7203734717639999,3.88882499832,-0.905105199008,0,1,0,0,0,0,5.753285980250001,-4.447682247166667,-0.40906808853166665,0.23844723523519998,-0.17310161456627998,-0.6037522729904,52.32156832,4.8749211930000005,-29.928768462800004,40.056967316000005,9.020730781560001,
1970-01-01 00:08:52.255039999,1.301067907498,-5.511809726696,0.96541064482716,0,1,0,0,0,0,7.74378671272,-12.896120379880001,1.52041228638,0.040428532505199996,-0.16232253059600002,-0.3783051487744,,,-37.067812194,35.08030685359999,9.64586917904,1010.6270599999999
1970-01-01 00:08:52.505039999,-2.2291207383079996,2.9858990332119997,-0.8111825901999999,0,1,0,0,0,0,4.02996165164,-4.5034749756000005,0.19542161863920002,0.15718525197871996,0.036327002649199996,0.4886604029016,,,-36.768468627599994,35.4045848084,8.03479244228,
1970-01-01 00:08:52.755039999,1.0327274566245832,-1.287538833325,0.9237270489070001,0,1,0,0,0,0,6.706755230280001,-9.74411900028,1.2072634827088,-0.50110770048375,-0.005906937654166676,0.3787957845804167,,,-34.38931051916666,38.04567654875,10.962959369291667,
